Symbol,Price,Volume
sh000001,3100.76,156727536
sh600000,15.92,914258
sh600004,12.13,26515
sh600005,3.9,327130
sh600006,8.63,503616
sh600007,13.95,56808
sh600008,9.11,187414
sh600009,28.23,57004
sh600010,3.66,345198
sh600011,8.7,56836
sh600012,9.64,57963
sh600015,10.21,109129
sh600016,8.61,410780
sh600017,5.65,887780
sh600018,7.1,197293
sh600019,5.6,189269
sh600020,5.31,175621
sh600021,14.8,137920
sh600022,3.13,324902
sh600023,7.39,216826
sh600027,7.01,136405
sh600028,4.83,926836
sh600029,7.58,393721
sh600030,13.46,763693
sh600031,6.47,354745
sh600033,3.77,110530
sh600035,4.41,66188
sh600036,17.51,212577
sh600037,18.41,88803
sh600038,41.67,63676
sh600039,4.49,135448
sh600048,7.98,252742
sh600050,6.14,1465089
sh600051,8.88,29126
sh600052,5.69,106268
sh600054,19.74,41712
sh600055,27.66,40209
sh600056,14.4,94802
sh600057,10.49,45276
sh600059,9.14,194677
sh600060,13.71,87398
sh600061,14.11,88214
sh600062,20.27,25325
sh600063,4.91,196099
sh600064,16.19,60417
sh600066,18.73,98036
sh600067,7.22,381077
sh600068,7.18,183129
sh600069,3.97,56461
sh600070,9.01,267191
sh600071,16.23,16616
sh600074,16.95,4130
sh600075,10.49,7350
sh600076,8.4,135803
sh600077,5.35,89345
sh600078,6.19,110849
sh600079,14.89,140595
sh600080,8.52,109686
sh600081,17.7,124508
sh600082,5.33,114192
sh600083,11.73,81345
sh600084,5.52,64504
sh600085,23.04,71663
sh600086,31.41,72935
sh600088,19.47,50383
sh600089,10.88,148958
sh600091,7.89,38406
sh600093,12.51,67010
sh600094,8.51,286992
sh600095,10.67,453283
sh600096,10.44,83348
sh600098,9.64,175651
sh600100,14.88,588208
sh600101,12.14,54175
sh600103,5.32,235873
sh600104,16.57,109546
sh600105,14.48,101004
sh600107,14.37,94234
sh600108,6.96,589583
sh600109,12.15,306496
sh600111,12.99,162367
sh600112,13.04,336461
sh600113,8.89,124342
sh600114,12.52,42028
sh600115,7.35,482018
sh600116,13.06,44682
sh600117,4.69,113773
sh600118,35.91,253447
sh600119,16.14,220358
sh600120,18.87,65150
sh600121,5.09,171490
sh600122,9.93,207615
sh600123,7.24,176591
sh600125,8.3,167008
sh600126,7.01,158557
sh600127,6.07,184749
sh600128,12.22,134066
sh600129,16.62,65313
sh600130,6.24,274399
sh600131,7,44281
sh600132,13.35,33493
sh600133,10.41,381965
sh600135,11.06,73943
sh600136,31.23,23893
sh600137,19.45,53565
sh600138,20.85,238174
sh600143,7.14,140353
sh600145,5.09,44400
sh600148,26.25,217649
sh600149,17.02,432575
sh600150,35.95,154217
sh600152,7.75,69451
sh600156,9.92,85363
sh600157,4.24,349627
sh600158,17.97,382598
sh600159,4.34,82341
sh600160,12.81,281471
sh600161,25.6,59760
sh600162,6.01,64577
sh600163,5.3,42586
sh600166,5.85,260506
sh600168,9.95,68389
sh600169,5.13,245977
sh600170,8.15,127369
sh600171,13.44,146648
sh600172,14.73,61526
sh600173,5,46376
sh600175,4.66,132015
sh600176,22.07,126007
sh600177,12.36,112254
sh600178,8.67,61657
sh600179,10.24,98835
sh600180,22,29297
sh600182,14.44,30405
sh600183,7.55,123803
sh600184,21.37,76344
sh600185,15.87,73554
sh600187,5.16,286956
sh600188,8.87,34780
sh600190,5.15,205812
sh600191,15.71,424806
sh600192,7.6,62552
sh600196,22.66,62634
sh600197,10.24,67017
sh600198,19.1,203117
sh600199,8.01,37624
sh600200,16.57,118011
sh600201,48.9,16814
sh600202,13.73,1077
sh600203,9.61,45779
sh600206,11.84,175400
sh600208,5.17,203111
sh600209,6.64,86258
sh600210,6.14,1061630
sh600211,36.7,12640
sh600212,8.93,2332
sh600213,9.75,36976
sh600215,7.59,45550
sh600216,8.93,58380
sh600217,6.45,107549
sh600218,10.66,274117
sh600219,6.58,327024
sh600220,4.81,220266
sh600221,3.84,326826
sh600222,6.58,81146
sh600223,5.72,136841
sh600225,5.57,159357
sh600227,4.75,150675
sh600228,10.4,105434
sh600229,12.27,87332
sh600230,8.42,38546
sh600231,4.4,189035
sh600232,7.81,62463
sh600233,14.59,30598
sh600234,10.78,84408
sh600235,7.84,51469
sh600236,6.65,61057
sh600237,5.73,126765
sh600239,6.08,184285
sh600240,10.5,110481
sh600241,9.25,24543
sh600246,4.37,34715
sh600247,12.53,90376
sh600248,8.03,76716
sh600249,6.09,78015
sh600250,9.31,29042
sh600251,9.43,68800
sh600255,4.25,167485
sh600256,6.73,172981
sh600257,8.89,162549
sh600260,9.25,160164
sh600261,6.72,70399
sh600262,37.19,35300
sh600265,16.71,7405
sh600266,11.6,93100
sh600267,11.46,89306
sh600268,7.64,109300
sh600269,4.85,220174
sh600270,20.46,45013
sh600271,51.68,103943
sh600272,14.53,102892
sh600273,8.48,129848
sh600275,5.04,83121
sh600276,47.2,76918
sh600278,14.63,116712
sh600279,9.16,31649
sh600281,5.96,248680
sh600282,3.06,237131
sh600283,10.5,107718
sh600284,13.34,250929
sh600285,11.81,108841
sh600287,10.12,146153
sh600288,15.22,182765
sh600289,13.65,169228
sh600290,10.35,98622
sh600291,21.71,160354
sh600292,17.44,463023
sh600293,8.49,219246
sh600295,7.21,27206
sh600298,28.21,25354
sh600299,12.83,20027
sh600300,5.61,364679
sh600301,9.75,10892
sh600302,6.79,47337
sh600303,5.93,265097
sh600305,20.12,24382
sh600307,4.07,702752
sh600308,4.7,83165
sh600309,16.45,91457
sh600310,8.22,137599
sh600311,5.44,110007
sh600313,11.5,33210
sh600316,19.02,84472
sh600317,4.74,161977
sh600320,5.97,131930
sh600321,4.4,249163
sh600322,4.38,91602
sh600323,12.41,68754
sh600325,11.9,32312
sh600326,9.08,121705
sh600327,8.23,82480
sh600328,12.81,106274
sh600329,16.8,43534
sh600330,9.33,218555
sh600331,5.82,94979
sh600332,26.02,42767
sh600333,6.47,90949
sh600335,15.45,40621
sh600336,5.88,180267
sh600337,12.77,29187
sh600338,13.14,98889
sh600339,6.08,187419
sh600340,22.67,65051
sh600343,18.58,154266
sh600345,14.16,33831
sh600346,6.9,391962
sh600348,6.44,95623
sh600350,5.87,94693
sh600351,11.39,102407
sh600352,9.65,207784
